Date,Count
3/10/20,     2
3/11/20,      3
3/12/20,      8
3/13/20,      9
3/14/20,      11
3/15/20,     14
3/16/20,     14
3/17/20,     23
3/18/20,     34
3/19/20,     54
3/20/20,     74
3/21/20,     95
3/22/20,     132
3/23/20,    155
3/24/20,    169
3/25/20,    247
3/26/20, 303
3/27/20, 367
3/28/20, 439
3/29/20, 488
3/30/20, 549
3/31/20,631
4/1/20, 731
4/2/20, 831
4/3/20, 921
4/4/20,1015
4/5/20,1112
4/6/20,1155
4/7/20,1261
4/8/20,1324
4/9/20,1432
4/10/20,1537
4/11/20,1644
4/12/20,1723
4/13/20,1788
4/14/20,1877
4/15/20,1986
4/16/20,2066
4/17/20,2190
4/18/20,2324
4/19/20,2428
4/20/20,2512
4/21/20,2602
4/22/20,2683
4/23/20,2763
4/24/20,2834
4/25/20,2909
4/26/20,3014
4/27/20,3105
4/28/20,3240
4/29/20,3352
4/30/20,3531
5/1/20,3718
5/2/20,3899
5/3/20,4133
5/4/20,4370
5/5/20,4623
5/6/20,4869
5/7/20,5120
5/8/20,5369
5/9/20,5619
5/10/20,5870
5/11/20,6123
5/12/20,6359
5/13/20,6602
5/14/20,6837
5/15/20,7036
5/16/20,7250
5/17/20,7455
5/18/20,7679
5/19/20,7904
